"Ano base","UF","Classe Substância","Substância Mineral","Quantidade Produção","Unidade de Medida - Produção","Quantidade Contido","Unidade de Medida - Contido","Indicação Contido","Quantidade Venda","Unidade de Medida - Venda","Valor Venda (R$)","Quantidade Consumo/Utilização na Usina","Unidade de Medida - Consumo/Utilização na Usina","Valor Consumo / Utilização na Usina (R$)","Quantidade Transferência para Transformação / Utilização / Consumo","Unidade de Medida - Transferência para Transformação / Utilização / Consumo","Valor Transferência para Transformação / Utilização / Consumo (R$)"
"2010","AL","Não-Metálicos","Calcário","1006305,29","t",",000000000000000","-","","161857,52000000002","t","10316106,109999999","0","t","0","815338","t","6136774,0499999998"
"2010","AL","Não-Metálicos","Rochas (Britadas) e Cascalho","855122,76000000001","t",",000000000000000","-","","681758,76000000001","t","24950312,869999997","53650","t","877370","119714","t","0"
"2010","AM","Metálicos","Estanho","4284188,5","kg","2784170,000000000000000","kg","Sn","0","kg","0","0","kg","0","3178353","kg","49798593,509999998"
"2010","AM","Metálicos","Nióbio","6319","t","1922,302990000000000","t","Nb2O5","0","t","0","0","t","0","6227,5200000000004","t","33407046,27"
"2010","AM","Não-Metálicos","Rochas (Britadas) e Cascalho","347611,48999999999","t",",000000000000000","-","","268349,48999999999","t","17162304,829999998","5986","t","433319","7728","t","139560"
"2010","AP","Metálicos","Cromo","91878","t","91878,000000000000000","t","Cr2O3","38421,910000000003","t","9448716,1099999994","0","t","0","0","t","0"
"2010","AP","Metálicos","Ferro","4243086","t","2569507,380000000000000","t","Fe","4193349,8700000001","t","684932386,32999992","0","t","0","0","t","0"
"2010","AP","Metálicos","Ouro","6,7620000000000005","kg","6,762000000000000","kg","Au","6,7620000000000005","kg","421,16460999999998","0","kg","0","0","kg","0"
"2010","AP","Não-Metálicos","Caulim","881427","t",",000000000000000","-","","0","t","118024927,04000001","881427","t","0","0","t","0"
"2010","AP","Não-Metálicos","Rochas (Britadas) e Cascalho","116559","t",",000000000000000","-","","113376","t","4496287,3399999999","0","t","0","0","t","0"
"2010","BA","Gemas e Diamantes","Diamante","1103,2","ct","1103,200000000000000","ct","","0","ct","0","0","ct","0","0","ct","0"
"2010","BA","Metálicos","Cobre","82405,309999999998","t","27803,340000000000000","t","Cu","86152,650000000009","t","433394129,88","0","t","0","0","t","0"
"2010","BA","Metálicos","Cromo","428250,90000000002","t","166430,420000000000000","t","Cr2O3","98050,989999999991","t","56251392,219999999","0","t","0","383132,13000000006","t","86599915,469999999"
"2010","BA","Metálicos","Manganês","1697,8","t","764,010000000000000","t","Mn","1697,8","t","867237,83999999997","0","t","0","0","t","0"
"2010","BA","Metálicos","Níquel","75978","t","10375,000000000000000","t"," Ni","73218","t","370387333,72000003","0","t","0","0","t","0"
"2010","BA","Metálicos","Ouro","5979,4752900000003","kg","5979,474290000000000","kg","Au","6025,4083499999997","kg","419163,28739000001","0","kg","0","0","kg","0"
"2010","BA","Metálicos","Prata","75,011499999999998","kg","75,011500000000000","kg","Ag","75,011499999999998","kg","110,88857000000002","0","kg","0","0","kg","0"
"2010","BA","Não-Metálicos","Argilas","277214,75","t",",000000000000000","-","","281515,75","t","32893347,930000003","0","t","0","8265,3199999999997","t","1448657,23"
"2010","BA","Não-Metálicos","Bário","17995,349999999999","t","17445,020000000000000","t","BaSO4","309,89999999999998","t","351606,88","0","t","0","16972,91","t","7297130,1500000004"
"2010","BA","Não-Metálicos","Calcário","1585357,3","t",",000000000000000","-","","377499","t","14393262,57","25480,549999999999","t","832797,46999999997","1063896,0599999998","t","15825855,879999999"
"2010","BA","Não-Metálicos","Caulim","9605","t",",000000000000000","-","","8139","t","5317802","0","t","0","0","t","0"
"2010","BA","Não-Metálicos","Diatomita","4082,1999999999998","t",",000000000000000","-","","3979,3099999999999","t","8305401,4500000002","0","t","0","0","t","0"
"2010","BA","Não-Metálicos","Dolomito e Magnesita","1362417","t",",000000000000000","-","","169262","t","113713177,52000001","182155","t","5586193,9299999997","947864","t","129777935,34"
"2010","BA","Não-Metálicos","Fosfato","287663,03999999998","t","94516,120000000000000","t","P2O5","229478,72","t","31052424,710000001","0","t","0","71878,839999999997","t","8617600"
"2010","BA","Não-Metálicos","Gipsita","0","t",",000000000000000","-","","0","t","0","0","t","0","0","t","0"
"2010","BA","Não-Metálicos","Grafita","17001,099999999999","t","15530,410000000000000","t","","17001,099999999999","t","22859581,260000002","0","t","0","0","t","0"
"2010","BA","Não-Metálicos","Rochas (Britadas) e Cascalho","5958212,2599999988","t",",000000000000000","-","","5529208,7599999998","t","172736405,27999997","556599,84000000008","t","1263146,96","0","t","0"
"2010","BA","Não-Metálicos","Talco e outras Cargas Minerais","79833,309999999998","t",",000000000000000","-","","73687,639999999999","t","74164644,959999993","0","t","0","1317,1300000000001","t","232588,78"
"2010","BA","Não-Metálicos","Vermiculita e Perlita","859,35000000000002","t","730,440000000000000","t","","859,35000000000002","t","51561,199999999997","0","t","0","0","t","0"
"2010","CE","Não-Metálicos","Areias Industriais","194258,51999999999","t",",000000000000000","-","","0","t","0","0","t","0","159225,56","t","2706918,5600000001"
"2010","CE","Não-Metálicos","Argilas","19977,889999999999","t",",000000000000000","-","","0","t","0","0","t","0","19977,889999999999","t","384991,40000000002"
"2010","CE","Não-Metálicos","Calcário","2032609,8700000001","t",",000000000000000","-","","58166,190000000002","t","4467903,4900000002","11009,4","t","154000","1963434,28","t","20597992,350000001"
"2010","CE","Não-Metálicos","Rochas (Britadas) e Cascalho","3558542,5","t",",000000000000000","-","","3252287,5","t","91004356,819999993","2175","t","36105","304080","t","1390065,3500000001"
"2010","DF","Não-Metálicos","Areia","0","t",",000000000000000","-","","0","t","0","0","t","0","0","t","0"
"2010","DF","Não-Metálicos","Argilas","33986,93","t",",000000000000000","-","","0","t","0","0","t","0","33986,93","t","535663,18000000005"
"2010","DF","Não-Metálicos","Calcário","3880454","t",",000000000000000","-","","3880454","t","25006120,280000001","0","t","0","0","t","0"
"2010","DF","Não-Metálicos","Rochas (Britadas) e Cascalho","3760652,73","t",",000000000000000","-","","1697691,96","t","33219685,380000003","0","t","0","2040084,5600000001","t","33217679,239999998"
"2010","ES","Não-Metálicos","Calcário","353052,16999999998","t",",000000000000000","-","","353549,96999999997","t","21307503,110000003","0","t","0","0","t","0"
"2010","ES","Não-Metálicos","Rochas (Britadas) e Cascalho","5066573,7599999998","t",",000000000000000","-","","5258457,1399999987","t","89452632,089999989","0","t","0","0","t","0"
"2010","ES","Não-Metálicos","Rochas Ornamentais","124630,29999999999","t",",000000000000000","-","","122201,59999999998","t","77800220,620000005","0","t","0","1850,74","t","1615032,27"
"2010","GO","Gemas e Diamantes","Diamante","82,799999999999997","ct","82,800000000000000","ct","","15,98","ct","5549,8000000000002","0","ct","0","0","ct","0"
"2010","GO","Metálicos","Cobalto","3203447,4399999999","t","2881,520000000000000","t","Co","0","t","0","0","t","0","3203447,4399999999","t","0,12"
"2010","GO","Metálicos","Cobre","271475,39000000001","t","69662,360000000000000","t","Cu","272014,48000000004","t","1241022095,7","0","t","0","0","t","0,12"
"2010","GO","Metálicos","Manganês","12065,200000000001","t","5638,360000000000000","t","Mn","12065,200000000001","t","6661975,9799999995","0","t","0","0","t","0"
"2010","GO","Metálicos","Nióbio","17941,231350000002","t","8547,567880000000000","t","Nb2O5","214,19148000000001","t","394788,92453000002","0","t","0","12488,12587","t","1018527,08513"
"2010","GO","Metálicos","Níquel","3267268,6399999997","t","40319,640000000000000","t"," Ni","64446,790000000001","t","437048115,24000001","0","t","0","3203447,4399999999","t","120050927"
"2010","GO","Metálicos","Ouro","4794,6700000000001","kg","3252,672170000000000","kg","Au","4942,1840300000003","kg","341944,16926","0","kg","0","0","kg","0"
"2010","GO","Metálicos","Prata","60","kg","60,000000000000000","kg","Ag","60","kg","140","0","kg","0","0","kg","0"
"2010","GO","Metálicos","Titânio","36829,889999999999","t","7000,000000000000000","t","TiO2","30970,790000000001","t","6279262,8899999997","0","t","0","0","t","0"
"2010","GO","Não-Metálicos","Amianto","302257","t","302257,000000000000000","t","","306350,20000000001","t","413847085,19","0","t","0","0","t","0"
"2010","GO","Não-Metálicos","Areia","408910,79999999999","t",",000000000000000","-","","408632,95999999996","t","6724360,6200000001","0","t","0","0","t","0"
"2010","GO","Não-Metálicos","Areias Industriais","15750","t",",000000000000000","-","","15750","t","147400","0","t","0","0","t","0"
"2010","GO","Não-Metálicos","Argilas","3235","t",",000000000000000","-","","218","t","2926,3000000000002","0","t","0","1000","t","444145"
"2010","GO","Não-Metálicos","Bário","23390","t","13174,000000000000000","t","BaSO4","23261,799999999999","t","2578934,1000000001","0","t","0","0","t","0"
"2010","GO","Não-Metálicos","Calcário","4886420,9300000006","t",",000000000000000","-","","3701998,1000000001","t","106311293,25000001","0","t","0","1442671,49","t","8076324,8799999999"
"2010","GO","Não-Metálicos","Dolomito e Magnesita","439700,59999999998","t",",000000000000000","-","","434853,69999999995","t","11807603,800000001","0","t","0","0","t","0"
"2010","GO","Não-Metálicos","Fosfato","2643426,8799999999","t","949307,230000000000000","t","P2O5","281172,82999999996","t","107866356,51000001","45414","t","4241803,3399999999","1851023,1299999999","t","197375241,61000001"
"2010","GO","Não-Metálicos","Rochas (Britadas) e Cascalho","5970704,8800000008","t",",000000000000000","-","","5354502,3500000006","t","137344071,92000002","1941","t","17469","276769,42999999999","t","4296752,4900000002"
"2010","GO","Não-Metálicos","Rochas Ornamentais","6980","t",",000000000000000","-","","6980","t","35196","0","t","0","0","t","0"
"2010","GO","Não-Metálicos","Vermiculita e Perlita","44413","t","25000,000000000000000","t","","36495,639999999999","t","3347473,04","0","t","0","5183,6499999999996","t","434969,20000000001"
"2010","MA","Metálicos","Ouro","506,72579999999999","kg","471,254990000000000","kg","Au","432,95690000000002","kg","31961,892280000004","0","kg","0","0","kg","0"
"2010","MA","Não-Metálicos","Areia","3361","t",",000000000000000","-","","3361","t","16355","0","t","0","0","t","0"
"2010","MA","Não-Metálicos","Argilas","153809,10000000003","t",",000000000000000","-","","35546,869999999995","t","3347112,5600000001","118177,28000000001","t","875876,01000000001","0","t","0"
"2010","MA","Não-Metálicos","Calcário","273029","t",",000000000000000","-","","273029","t","6970223,5499999998","0","t","0","0","t","0"
"2010","MA","Não-Metálicos","Rochas (Britadas) e Cascalho","1640172,99","t",",000000000000000","-","","1647501,3999999999","t","44190175,549999997","0","t","0","0","t","0"
"2010","MG","Gemas e Diamantes","Diamante","10659,109999999999","ct","10659,110000000000000","ct","","7620,4700000000003","ct","3653583,7199999997","0","ct","0","0","ct","0"
"2010","MG","Gemas e Diamantes","Gemas","486,99372000000005","kg","486,993720000000000","kg","","361,46735999999999","kg","8760,285460000001","19,040749999999999","kg","118,0497","0","kg","0"
"2010","MG","Metálicos","Alumínio (Bauxita)","2968433,5800000001","t","1286851,460000000000000","t","Al2O3","6295,6599999999999","t","2022147,8500000001","0","t","0","2964851,3399999999","t","134315799,75"
"2010","MG","Metálicos","Chumbo","19650,360000000001","t","12832,380000000000000","t","Pb","19739,98","t","27013105,600000001","0","t","0","0","t","0"
"2010","MG","Metálicos","Estanho","451039","kg","316957,000000000000000","kg","Sn","417759","kg","4447408,0199999996","0","kg","0","0","kg","0"
"2010","MG","Metálicos","Ferro","262341144,82999995","t","165409770,330000000000000","t","Fe","181276735,16999999","t","26535255660,029991","4846896","t","127418118,17999999","72347311,390000001","t","4143302072,3400002"
